Date,Job,Location,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Sep 24, 2017",Project Manager CAE Interview,Anonymous Employee in Chennai (India),Accepted Offer,Positive Experience,Difficult Interview,I applied through a staffing agency. The process took 4+ weeks. I interviewed at Ford Motor Company (Chennai (India)) in April 2015.,"- Phone Call received from Consultant after review of my resume in on of the job portal
- Fixed up the appointment for technical discussion with Company
- Face to Face interview with group panel members
- HR telecon for salary negotiation
- Offer release","Project Discussion, Team handling, Achievement, technical discussion Â  1 Answer"
"Sep 22, 2017",Marketing and Sales Interview,"Anonymous Employee in Berkeley, CA",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Ford Motor Company (Berkeley, CA) in September 2017.","The recruiter was nice--it was just me and one interviewer. She led me into the room and asked a series of behavioral ""what would you do"" type questions and one technical question on sales. The interview only lasted around 30 min.",What would you do if you were put in a position where you had to manage a lot of projects all at once? How would you approach it? Â  1 Answer
"Sep 21, 2017","Marketing, Sales and Service Interview","Anonymous Employee in UC Berkeley, CA",Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. I interviewed at Ford Motor Company (UC Berkeley, CA) in September 2016.","I submitted my resume at a career fair, and I received a phone call later that day offering an interview later the next day. I needed to complete an online assessment, which involved graph and economic synthesis.
During my interview, there were three interviewers. They asked a chunk of behavioral and fit questions. Later, they switched into a ""mini-case,"" where they asked how I would approach a business situation. Some graphs involved and interpretation required.",Why marketing? Â  Answer Question
"Sep 21, 2017",Manufacturing Engineer Interview,"Anonymous Interview Candidate in Ann Arbor, MI",No Offer,Neutral Experience,Average Interview,"I applied through college or university. I interviewed at Ford Motor Company (Ann Arbor, MI) in October 2016.","Talked with a recruiter at the University of Michigan career fair in Fall 2016, got an email for an on-campus interview a few days later. Interviewed with 2 people. They asked fairly standard interview questions (and a couple ethical ones), but I was so tired from working on a team project the night before that I could barely think.","(Forgive me, this might be slightly off because it's been almost a year) Q: Your team is behind schedule on a project because they want more time to ensure that all their product is safe. You want to publish the safety research you have done, but your boss claims that the results show the product is ""safe enough"" and wants you to rush out the product as quickly as possible.â¦Â  How do you handle the situation? What do you tell your team and your boss? Â  Answer QuestionShow More"
"Sep 19, 2017",IT Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Ford Motor Company in September 2016.,"Behavioral interview with standard questions. Before receiving the interview there is also an online culture fit, math, and verbal reasoning skills online test. This consisted mainly of data analysis and other analytical questions. The verbal reasoning skills portion was reading comprehension and analysis.",Describe a project you worked on as a team. Â  Answer Question
"Sep 18, 2017",IT Interview,"Anonymous Employee in Seattle, WA",Accepted Offer,Positive Experience,Easy Interview,"I applied through other source. I interviewed at Ford Motor Company (Seattle, WA) in November 2016.","Simple interview, nothing technical. Asked situation questions. One interview round of interviews only, heard back within a month. Before interview had to complete a test. Test was about how you would handle certain situations and a math test.",Describe a time when you had to be a lead in a project? Â  Answer Question
"Sep 18, 2017",Data Analyst Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Ford Motor Company in October 2016.,Two interviews at your respective college. They were both extremely similar but I gave an effort to answer differently in order to give a better understanding of my personality to the interviewers.,How would you approach a situation where one member of your group was not doing all their required work? Â  Answer Question
"Sep 15, 2017",Research and Advanced Engineering Interview,"Anonymous Employee in Ann Arbor, MI",Accepted Offer,Neutral Experience,Average Interview,"I applied through college or university. I interviewed at Ford Motor Company (Ann Arbor, MI) in September 2017.","The interviewers were very time conscious and punctual, they wrote down what they thought about answers in a sheet they have with other details. They said that they would get back in 2 weeks.",What was a difficult problem that you solved creatively? describe the problem and your role in it. Â  Answer Question
"Sep 14, 2017",Research Engineer Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied online. I interviewed at Ford Motor Company in September 2017.,Resume screening followed by online aptitude test and phone screen. Phone screen was an average interview about resume projects and experience with hardware implementation. A solid hands on experience was expected. Asked some detailed questions about controller design.,What experience do you have with hardware implementation of a controller? Â  Answer Question
"Sep 11, 2017",Site Support Engineer Interview,"Anonymous Interview Candidate in Allen Park, MI",No Offer,Negative Experience,Easy Interview,"I applied in-person. I interviewed at Ford Motor Company (Allen Park, MI) in June 2017.","a system that is loosely based off the STAR system many companies used, questions were right from the text book as they ultimately don't matter for the hiring process. Those they hire are pre-determined regardless of credentials and/or experience. seems to be a buddy system where neighbors and friends take precedence over others. leaves you feeling like you wasted your time. bad sour taste in your mouth especially after taking the pre-interview test that is mandatory given out by a third party that anyone can take for you to pass and if you fail and are a friend of a friend you can take over multiple times till you pass. very broken system that allows inept people to be hired and promoted.",star system questions Â  1 Answer
"Sep 11, 2017",Data Scientist Interview,"Anonymous Employee in Detroit, MI",Accepted Offer,Positive Experience,Average Interview,"I applied through a staffing agency. I interviewed at Ford Motor Company (Detroit, MI) in August 2017.","5 technical questions and 5 behavior questions, you can have a break in the middle. In my opinion, all the questions should be answered with an example, based on the rule of STAR(situation, task, action, results). If you could get a brief summary of what you learned from each example, that could be better.",what is the most risky decision you have ever made? Â  Answer Question
"Sep 10, 2017",Data Scientist Interview,"Anonymous Employee in Detroit, MI",Accepted Offer,Positive Experience,Easy Interview,"I applied through a recruiter. I interviewed at Ford Motor Company (Detroit, MI) in September 2017.","Recruiter arrange an interview thru online video conferencing. A panel of 5 interviewers with each specialization from their team. The team leader gave an overview of the project / job description then each took turn turns to ask questuons about machine learning, big data, data analysis and statistics. They asked me to solve a data analysis question in using SQL.",Tell me about yourself Â  1 Answer
"Sep 7, 2017",IT Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Ford Motor Company.,"I had an on-campus interview following a career fair with two recruiters. All questions were behavioral, and often led to off-topic conversation, which was great for getting to know the candidate and the recruiters beyond the standard answers to questions.",General behavioral questions (i.e tell me about a time when....) Â  Answer Question
"Sep 1, 2017",Software Engineer(Internship) Interview,"Anonymous Interview Candidate in Tempe, AZ",No Offer,Neutral Experience,Average Interview,"I applied through college or university. I interviewed at Ford Motor Company (Tempe, AZ) in September 2015.",Two managers from different departments interview me at once. I got the interview after meeting with representatives at a college career fair. I took a screening exam later that day and got an interview offer soon afterwards. The interview was an hour long.,What was an instance where you had a problem with your workplace and how did you handle it? Â  Answer Question
"Aug 30, 2017",Internal Auditor Interview,Anonymous Interview Candidate,Declined Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Ford Motor Company.,First we had an online test. Then we had an interview. I got shortlisted for the interview and am waiting to get a call back. The interview was a telephonic interview.,Introduce yourself Â  1 Answer
"Aug 30, 2017",Software Engineer Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Difficult Interview,"I applied online. I interviewed at Ford Motor Company (Dearborn, MI) in April 2017.","Long process, online aptitude test, phone screen, technical and behavioral scenario questions during panel interview. Very in depth questions with multiple parts. Come well prepared. Friendly environmenment but still need to answer all parts of the question and explain in their format C-A-R, context, actions, results.",Explain a time your overcame diverse perspectives to bring a group together Â  2 Answers
"Aug 29, 2017",Data Modeler Interview,"Anonymous Interview Candidate in Dearborn, MI",No Offer,Neutral Experience,Difficult Interview,"I applied through an employee referral. I interviewed at Ford Motor Company (Dearborn, MI).","First test, then on-campus interview, then on-site interview. People were nice and tried to help out until you got to the last stage. They became disrespectful and cared only about your credentials as opposed to your ability to do the job.",How do you convert this into a data model? Justify your design. Â  Answer Question
"Aug 29, 2017",Graduate Development Program Interview,Anonymous Interview Candidate,Declined Offer,Positive Experience,Average Interview,I applied through a recruiter. I interviewed at Ford Motor Company in August 2017.,First you complete the work simulation; if your results are above average you will be contacted by the team or a phone interview; during the phone interview you do through personality questions and then some work related possible issues. After that you get scheduled for in-person interview,What are your three strenghts? Â  Answer Question
"Aug 24, 2017",Business Development Interview,Anonymous Employee in Santiago (Chile),Accepted Offer,Positive Experience,Average Interview,I applied through other source. I interviewed at Ford Motor Company (Santiago (Chile)) in July 2017.,"Short 20-minute phone call about my current job and responsibilites, why I want to work at Ford, and my goals/expectations for the future. I was asked if I would be interested in an iintership position and then was put in touch with HR.",Tell me about yourself. What are you looking for in a job? Â  Answer Question
"Aug 23, 2017",Intern Interview,"Anonymous Employee in Boston, MA",Accepted Offer,Neutral Experience,Easy Interview,"I applied through college or university. I interviewed at Ford Motor Company (Boston, MA) in October 2016.","Got contacted through a university recruiter, and then had a phone interview. It was not technical in any way and simply asked behavioral questions. It took a long time for me to hear back, but it was a smooth process. They are not very transparent about whether you get an offer until right when you are about to receive it",Describe a time where you and a supervisor had a disagreement Â  Answer Question
"Aug 17, 2017",Associate Software Developer Interview,"Anonymous Interview Candidate in Ann Arbor, MI",No Offer,Negative Experience,Easy Interview,"I applied online. I interviewed at Ford Motor Company (Ann Arbor, MI) in August 2017.",Phone conversation with in-house recruiter where she asked me questions and wrote down my responses verbatim on what I assume was an in-house electronic application that I could have easily filled out myself.,What software development project was the most difficult or exemplifies your most honed skills Â  2 Answers
"Aug 15, 2017",Operations Analyst Interview,Anonymous Interview Candidate,No Offer,Negative Experience,Easy Interview,I applied online. I interviewed at Ford Motor Company.,"1. Fill out online application
2. Receive and complete a language, personality, and math assessment
3. Recruiter phone interview
4. Manager phone Interview

Recruiter was late multiple times. Called the day after our scheduled interview to do the interview. Was terrible at informing about the process, updates, rescheduling, and lacked preparedness.

I did not bother following up.",Why Ford? Â  1 Answer
"Aug 14, 2017",Research Engineer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at Ford Motor Company.,Online assessment followed by a phone interview and an on-site in Detroit (regardless of location). Questions were 50% behavioral and 50% about your projects/previous experience. Relatively easy with some preparation. No problem solving or coding questions.,What are some conflicts that came up with team members in the past and how did you resolve them. Â  Answer Question
"Aug 8, 2017",Automation QA Engineer Interview,Anonymous Interview Candidate,No Offer,Negative Experience,Average Interview,I applied through a staffing agency. I interviewed at Ford Motor Company.,"There were two inexperienced interviewer, they rapid fire some googled questions, not a cool way of taking interview. Like with an intention to reject. They keep on skipping the question if you take a sec to answer. Very unprofessional.",Global maven repo is unsecure as it is public. What would you do if you do to secure it? Â  Answer Question
"Aug 7, 2017",Network Capacity Planner Interview,Anonymous Interview Candidate,No Offer,Negative Experience,Average Interview,I applied online. I interviewed at Ford Motor Company.,"Online assessment, weeks later, call from screener, weeks later, call from recruiter to set up interview, finally weeks later, interview in person. The requirements for the job were not presented in much more depth, no personal touch by the hiring manager, than what was on the job description. The entire process ended up being a complete and total waste of time. I would rather have not went through this is there had not been some intermediary call directly with the hiring manager and team so get a better feel if there was a match of people, expectations rather than the strange reject letter I received. If things were such a mismatch, why not do more work up front to not waste peoples' time and money?","A bunch of canned questions following their C>A>R format. Context (what is the experience), Actions (what did you personally do about it), and Results. Interviewers seemed like they were in disbelief themselves they had to ask these questions. No freelance questions discussing my experience, talk about things I could do, intangibles, etc. I had to try to fit various experiences to their six part questions. All parts of the questionsâ¦Â  had to be answered. It's as if they handled the questions like making a shirt with four button holes, and six buttons. They felt they had to sew all six buttons on the shirt (not just keep two for spares). Â  1 AnswerShow More"
"Aug 6, 2017",Production Manager Interview,"Anonymous Employee in Flat Rock, MI",Accepted Offer,Neutral Experience,Average Interview,"I applied through an employee referral. I interviewed at Ford Motor Company (Flat Rock, MI).",Had to go into a conference room and go thru the standard Ford questions. They look at how you handle situations with different difficulties. There are about 20 questions and most will have multiple parts so bring a note book.,The hardest thing is making sure you understand that they want to know how you handle yourself in a facility such as Fords. Make sure you think about the questions you are asked so you can give a good example. Â  1 Answer
"Aug 4, 2017",Modeler Interview,"Anonymous Interview Candidate in London, England (UK)",No Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Ford Motor Company (London, England (UK)) in July 2017.",I applied online and got the phone interview online. It was really quick process and I am really satisfied with process regarding the speed. It took me about 2 weeks for the phone interview. And the further reviews should be made within a month.,"Why should I choose Shanghai, what is my plan after graduation. My education background. Â  1 Answer"
"Jul 29, 2017",Graduate Engineer Interview,"Anonymous Employee in London, England (UK)",Accepted Offer,Positive Experience,Difficult Interview,"I applied online. I interviewed at Ford Motor Company (London, England (UK)) in January 2017.","As described on the Application Website. 4 mains areas focused towards, no surprises, ensure knowledge of company throughout as core values is needed for assessors to show your passion to the company and why you want to work there.",
"Jul 26, 2017","User Experience Strategist, Global User Experience Group Interview","Anonymous Interview Candidate in San Diego, CA",No Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Ford Motor Company (San Diego, CA) in October 2016.","Following the successful completion of an online (MCQ) test, Ford told me to expect an interview within two weeks. A screening interview was scheduled by a Ford recruiter subsequently.","The screener asked questions to determine fit: (i) min experience; (ii) earliest date of commencement; (iii) salary requirements, etc. Â  Answer Question"
"Jul 24, 2017",NVH Engineer Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. I interviewed at Ford Motor Company (Dearborn, MI) in July 2017.","4 Interviewers, 2 on-site, 2 call-in. The manager first introduced their group and describe what they do within their group. Then he asked me to explain the list in my resume in details. Later they asked me questions about the classes I have took and the proficiency of the softwares that I have used.",Do I have multi-body dynamic classï¼ Â  1 Answer
"Jul 24, 2017",MIS Analyst Interview,Anonymous Employee in Chennai (India),Accepted Offer,Positive Experience,Difficult Interview,I applied through college or university. I interviewed at Ford Motor Company (Chennai (India)) in October 2015.,"3 rounds of interview (apps, GD & Face to face). Apps was tough around 400 - 500 people are eliminated in this round rest are easy compared to Apps",mostly about accounts Â  Answer Question
"Jul 20, 2017",Auxiliar Administrativo Interview,Anonymous Employee in SÃ£o Bernardo do Campo (Brazil),Accepted Offer,Positive Experience,Easy Interview,I applied through a staffing agency. The process took 4+ weeks. I interviewed at Ford Motor Company (SÃ£o Bernardo do Campo (Brazil)).,"Foi meio estranho, pois eu estava meio nervoso no dia, porÃ©m dei o meu melhor e consegui um resultado satisfatÃ³rio ao meu ponto de vista, me surpreendi bastante.",Qual time de futebol eu torÃ§o. Â  1 Answer
"Jul 9, 2017",Buyer Interview,Anonymous Employee in Bengaluru (India),Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Ford Motor Company (Bengaluru (India)).,"written exam- case study with a situation, technical interview with related to the job, group discussion, company presentation, Interview arranged by Allegis consultancy firm & conducted by Ford team.",why did you leave the current job Â  Answer Question
"Jul 7, 2017",Software QA Engineer Interview,"Anonymous Interview Candidate in Detroit, MI",No Offer,Neutral Experience,Difficult Interview,"I applied online. I interviewed at Ford Motor Company (Detroit, MI) in January 2016.","Accepted Offer
Positive Experience
Difficult Interview
Application
I applied through other source. The process took 4+ months. I interviewed at Amazon (Seattle, WA) in May 2013.
Interview
Called out of the blue, asked if I'd be interested in interviewing. Still not entirely sure how they got my name. Had first phone interview the next week, asked no personal questions, all technical in nature.",which testing software have you used in past? Â  Answer Question
"Jul 6, 2017",Product Development Engineer Interview,"Anonymous Interview Candidate in Dearborn, MI",No Offer,Positive Experience,Average Interview,"I applied in-person. I interviewed at Ford Motor Company (Dearborn, MI) in March 2015.",1st Interview with HR. Then 3 managers interview with general questions about my resume and leadership skills. Questions about my general interests and problem solving techniques. HR questions about salary and visa sponsorship.,Examples of leadership. Â  1 Answer
"Jul 2, 2017",Product Engineer Interview,Anonymous Employee,Accepted Offer,Neutral Experience,Average Interview,I applied through a staffing agency. I interviewed at Ford Motor Company in February 2016.,"They utilize the STAR methodology. So long as you are able to highlight the Situation Task Action and Result, you will do fine. The interviewers were friendly and made me feel at ease. This made it easy for my personality to shine.",Name a time when you utilized innovation in your life. Â  Answer Question
"Jun 30, 2017",Area Manager Interview,"Anonymous Employee in London, England (UK)",Accepted Offer,Positive Experience,Difficult Interview,"I applied in-person. I interviewed at Ford Motor Company (London, England (UK)) in April 2013.",Selected from next up list which is standard process in the company at senior level. Its based on years performance and an assessment of leadership behaviours . 3 senior managers were in the panel supported by HR who typically do not ask questions . Its normally based on a standard interview pack..if you have been interviewed previously you sort of know the questions that are coming,Experience of projects managed and leadership behaviours Â  1 Answer
"Jun 22, 2017",Engineer Interview,"Anonymous Interview Candidate in Blacksburg, VA",No Offer,Neutral Experience,Average Interview,"I applied through college or university. I interviewed at Ford Motor Company (Blacksburg, VA) in March 2017.",simple STAR based question. The interview lasted almost an hour. They wanted to know various work-related situations I had been in and how I reacted. Very laid back and relaxed,Why ford? Â  Answer Question
"Jun 22, 2017",Data Scientist Interview,"Anonymous Interview Candidate in Dearborn, MI",No Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Ford Motor Company (Dearborn, MI) in March 2017.",Everything is going well but I didn't get the offer. Three persons in the panel asked your questions during the interview but one hiring manager was in charge.,Half of them are behavior questions and the others are for your resume. Â  Answer Question
"Jun 22, 2017",Senior Software Developer Interview,"Anonymous Employee in Lansing, MI",Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. I interviewed at Ford Motor Company (Lansing, MI) in December 2013.",Interview was done on the phone by the hiring manager and the team lead. I got the offer within an hour of the interview. The resume was submitted through a Ford preferred vendor.,the manager asked general questions about myself and what I had done in my previous projects. the team lead asked technical questions which were quite detailed Â  1 Answer
"Jun 19, 2017",Jovem Aprendiz Administrativo Interview,Anonymous Interview Candidate in SÃ£o Bernardo do Campo (Brazil),No Offer,Positive Experience,Average Interview,I applied through a recruiter. The process took 5 days. I interviewed at Ford Motor Company (SÃ£o Bernardo do Campo (Brazil)).,Bem direto e condizente com a vaga. Foi a minha primeira experiÃªncia no mercado de trabalho. Teve um teste de excel e conversa com o gestor.,Qual a faculdade que eu gostaria de fazer? Â  1 Answer
"Jun 19, 2017",Analista Financeiro Pleno Interview,Anonymous Employee in SÃ£o Bernardo do Campo (Brazil),Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 1 day. I interviewed at Ford Motor Company (SÃ£o Bernardo do Campo (Brazil)).,"entrei como operador de linha de montagem e fui crescendo ate chegar em finanÃ§as tenho experiencia em controller ,eng industrial, o processo foi ok",analise o que voce espera dessa area Â  1 Answer
"Jun 18, 2017",Computing Researcher Interview,Anonymous Interview Candidate,No Offer,Negative Experience,Average Interview,I applied online. I interviewed at Ford Motor Company in May 2017.,"had two phone interviews, and both asked exactly the same questions (mostly about my resume) and told me I would hear back in 2 to 3 weeks and I never did.",Talk to me about your projects Â  Answer Question
"Jun 17, 2017",Industrial Engineer Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Ford Motor Company.,"Apply on the website, Take an online assessment, Phone pre screen, Phone Interview with panel, On site Interview with panel, wait one month, later they cancel the position but do not bother to call you",What's a risk you have taken recently? Â  Answer Question
"Jun 12, 2017",Supervisor Interview,"Anonymous Employee in CamaÃ§ari, Bahia (Brazil)",Accepted Offer,Neutral Experience,Easy Interview,"I applied through an employee referral. The process took 1+ week. I interviewed at Ford Motor Company (CamaÃ§ari, Bahia (Brazil)).","Como foi indicaÃ§Ã£o de um funcionÃ¡rio, foi tranquilo. Mas como morava em sÃ£o paulo, fui obrigado ir atÃ© CamaÃ§ari para fazer a entrevista com o gerente, que me ouviu por 10 minutos e me aprovou",Onde vocÃª trabalhou e experiÃªncia e se tinha vontade de morar no nordeste Â  1 Answer
"Jun 10, 2017",Consultor Interview,Anonymous Employee in Rio de Janeiro (Brazil),Accepted Offer,Positive Experience,Difficult Interview,I applied through an employee referral. The process took 4 weeks. I interviewed at Ford Motor Company (Rio de Janeiro (Brazil)).,"Profissional e muito didÃ¡tico com interaÃ§Ã£o sobre a empresa e atividades exercidas, questionou-me tÃ©cnica e comercialmente. Dificuldades da funÃ§Ã£o foram apresentadas",Qual seu nÃ­vel de interesse na vaga? Â  1 Answer
"Jun 9, 2017",TOOLMAKER Interview,Anonymous Employee,Accepted Offer,Positive Experience,Difficult Interview,The process took 4+ weeks. I interviewed at Ford Motor Company.,Submitted resume for position. Got a follow up email to schedule interview. Had interview online and went very good. Two guys giving me the interview we're knowledgeable and friendly. They got right to the point and very very honest.,Describe your experience with metalworking machines Â  Answer Question
"Jun 8, 2017",EletrÃ´nico De ManutenÃ§Ã£o Interview,Anonymous Employee in TaubatÃ© (Brazil),Accepted Offer,Positive Experience,Difficult Interview,I applied through an employee referral. I interviewed at Ford Motor Company (TaubatÃ© (Brazil)).,"Prova seletiva para o Programa de aprendizagem industrial do Senai, com 15 anos de idades fiz a prova de seleÃ§Ã£o o que deu oportunidade de ingressar na empresa como aprendiz",
"Jun 4, 2017",Financial Analyst Interview,Anonymous Employee in Chennai (India),Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 1 day. I interviewed at Ford Motor Company (Chennai (India)) in September 2015.,"One case study ( very simple), Two rounds of interview- one on your profile, work and hobbies etc. other interview was more on your personality, behaviour, business partnering skills etc.","More about your profile and past experiences, personality, behavioural etc. Â  Answer Question"
"Jun 2, 2017",Zone Manager Interview,"Anonymous Employee in Detroit, MI",Accepted Offer,Positive Experience,Difficult Interview,"I applied through an employee referral. I interviewed at Ford Motor Company (Detroit, MI) in January 2013.","Phone Interview with 2 separate managers, then you fly to Dearborn MI for a interview event. They give you group and individual projects to do and observe you while you work and interact with you as the day progresses. Its exhausting but thorough because all the people you work with are top notch.",Why should we hire you? Â  Answer Question
"Jun 2, 2017",Jovem Aprendiz Interview,"Anonymous Interview Candidate in CamaÃ§ari, Bahia (Brazil)",No Offer,Positive Experience,Easy Interview,"I applied through an employee referral. I interviewed at Ford Motor Company (CamaÃ§ari, Bahia (Brazil)).","uma prova que Ã© necessÃ¡rio indicaÃ§Ã£o de um funcionÃ¡rio, podendo ter grau parentesco. 15 questÃµes objetivas com temas de matematica, portuguÃªs e conhecimentos gerais.",Quais seus planos futuros Â  1 Answer
"Jun 1, 2017",Front Desk Receptionist Interview,"Anonymous Interview Candidate in Birmingham, AL",No Offer,Neutral Experience,Easy Interview,"I applied in-person. I interviewed at Ford Motor Company (Birmingham, AL) in February 2014.",They had me wait past my interview time that was given. I felt as though the interview was rushed and that maybe they already had selected a candidate prior to my interview.,My experience Â  1 Answer
"May 31, 2017",Analista De Qualidade Interview,Anonymous Employee in TatuÃ­ (Brazil),Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Ford Motor Company (TatuÃ­ (Brazil)).,"bom e tranquilo, perguntas de conhecimento tecnico e tambÃ©m sobre futuro objeivos, familia, tem que ser firme nas respostas sempre olhando nos olhos do entrevistador",Perguntas tecnicas e especificas Â  1 Answer
"May 29, 2017",Engineer Manufacturing Interview,"Anonymous Interview Candidate in ValÃ¨ncia, Valencian Community (Spain)",No Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 4+ weeks. I interviewed at Ford Motor Company (ValÃ¨ncia, Valencian Community (Spain)) in February 2016.","Consists in a two-phase hiring process after they have accepted your resume:

First you take a multi-type test with language, math and logical questions. You would do that test surrounded by your future companions or former workers of the company. The test is not difficult, but there are a lot of questions. Takes for around 4 hours.
Second, interview with the hiring manager in the main offices.",Do you want to relocate? Â  Answer Question
"May 24, 2017",Engineer Interview,Anonymous Employee in Chennai (India),Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 3 weeks. I interviewed at Ford Motor Company (Chennai (India)) in May 2013.,"3 rounds. 1 General and other 2 technical. Mostly will test the behavioral ability. Mostly they will see how tackle particular situations . You will be given a case and asked to tell us our approach. Also, we should ensure to not to tell anything bad about the past employer.
Total process itself takes little more time.",Why do want to join Ford Â  1 Answer
"May 23, 2017",Coordenador Interview,"Anonymous Employee in CamaÃ§ari, Bahia (Brazil)",Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. I interviewed at Ford Motor Company (CamaÃ§ari, Bahia (Brazil)).","ApÃ³s oito anos trabalhando na empresa como Operador de montagem, fui indicado ao cargo de Coordenador de equipe, sendo o processo seletivo competitivo, porÃ©m justo,",Se eu aceitava o novo desafio de liderar a minha prÃ³pria equipe onde trabalhei Â  1 Answer
"May 23, 2017",Supervisor Interview,Anonymous Employee in TatuÃ­ (Brazil),Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. I interviewed at Ford Motor Company (TatuÃ­ (Brazil)).,Tranquilo com muitas perguntas. Achei um processo justo e com uma importancia muito relevantenpara quem tem fluencia na lingua inglesa. Acho importante para uma empresa americana,Ingles Â  1 Answer
"May 22, 2017",Product Development Engineer Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Easy Interview,"I applied through a recruiter. The process took 1 day. I interviewed at Ford Motor Company (Dearborn, MI) in March 2013.",Fairly Easy and focused more towards your attitude and ethics. Had general phone interview with Aerotek Recruiting manager and then a 1 on 1. Then got opportunity to interview for Ford vehicle Engineering position. General situation based questions and educational background questions.,Explain the steps you will take to resolve an issue encountered in Manufacturing Facility. Â  Answer Question
"May 20, 2017",Senior Software Developer Interview,"Anonymous Employee in Allen Park, MI",Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. I interviewed at Ford Motor Company (Allen Park, MI) in May 2017.","phone calls exchange with the agency, e-mails exchange with the agency, the agency phone screening, the agency conference calls screening, the agency confirmation on the resume submission, the resume submitted, the agency prepared the interview scheduling, the face to face interview with development team",software development experience / carrier; Â  Answer Question
"May 19, 2017",IT Interview,"Anonymous Interview Candidate in Chicago, IL",Declined Offer,Neutral Experience,Average Interview,"I applied through college or university. I interviewed at Ford Motor Company (Chicago, IL) in March 2017.",They came on to my university campus and I applied when I met them in person. I was given an interview. They asked behavior questions mostly. Nothing technical. They seem nice but they didn't seem to be passionate in their work such put off a strange feel to the interviewee.,Behavior questions Â  Answer Question
"May 18, 2017",Solutions Architect Interview,"Anonymous Interview Candidate in Detroit, MI",Declined Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Ford Motor Company (Detroit, MI) in February 2017.",The interview happens over the phone. Normally it is an easy interview process. Goes for 30 min to 1 hour As long as you ar technically sound they will offer the job.,Describe yourself and your past experience Â  1 Answer
"May 18, 2017",Project Coordinator Interview,"Anonymous Employee in Nanjing, Jiangsu (China)",Accepted Offer,Positive Experience,Difficult Interview,"I applied online. I interviewed at Ford Motor Company (Nanjing, Jiangsu (China)) in May 2014.","One day 3 round. Firstly, interview with the supervisor directly. Secondly, an English test. Thirdly, group interview. divided into 2 groups. discuss with your group first then debate.",Tell me something about your experience in manage you project? Â  Answer Question
"May 15, 2017",Product Development Interview,Anonymous Employee in Chennai (India),Accepted Offer,Positive Experience,Difficult Interview,I applied through college or university. I interviewed at Ford Motor Company (Chennai (India)) in February 2015.,"The entire process consisted of 3 rounds,First was the written test, then followed the group discussion where they pick up any relevant topic and ask you talk about it and discuss and see how you can involve yourself in discussions and then interview round. they were split between 3 weeks and each time they reduced number of people by more than 50%.",describe your resume to me Â  1 Answer
"May 8, 2017",Product Development Engineer Interview,"Anonymous Interview Candidate in Dearborn, MI",No Offer,Neutral Experience,Average Interview,"I applied through a recruiter. I interviewed at Ford Motor Company (Dearborn, MI) in April 2017.","There were two people the hiring manager and team leader for the specific department they were hiring for. the interview was cool, friendly and short.
Firstly the interviewer greeted very well and told me about himself and the job roles and description.",Tell me about yourself Â  1 Answer
"May 3, 2017",Product Development Interview,"Anonymous Employee in Stanford, CA",Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Ford Motor Company (Stanford, CA) in September 2016.",Lots of questions about the ford culture and how you would deal with it / add to it. They asked about my experience and how I would add to one of their teams. Why I would be a good candidate and how I would deal with difficult situations in the work place. The phone conversation was about 1 hour long.,If you're working on a team and someone isn't producing as well as they need to be then how do you handle it? Â  Answer Question
